invoice_id,city,customer_type,gender,product_line,unit_price,quantity,measure_date,measure_time,payment,rating,branch,tax_5_percent,total,cogs,gross_income,gross_margin_percentage
124-28-7964,Naypyitaw,Normal,Male,Food and beverages,85,4,2017-11-03,17:00:00,Ewallet,5,C,17,357,206.3,NA,NA
655-28-7489,Naypyitaw,Member,Female,Home and lifestyle,39.2,14,2017-11-27,10:00:00,Cash,5,C,27.44,576.24,400.27,148,27
798-97-1363,Yangon,Member,Female,Home and lifestyle,30.17,19,2017-06-21,14:00:00,Ewallet,8.3,A,28.6615,601.8915,434.76,NA,NA
193-56-2219,Mandalay,Member,Female,Fashion accessories,28.3,13,2017-01-31,18:00:00,Cash,7.4,B,18.395,386.295,189.38,178,48
270-99-4549,Mandalay,Member,Male,Home and lifestyle,84.7,5,2017-07-02,13:00:00,Credit card,6.6,B,21.175,444.675,347.18,76,18
103-33-4867,Yangon,Normal,Female,Health and beauty,48.63,7,2017-03-11,15:00:00,Credit card,8.1,A,17.0205,357.4305,289.93,50,14
145-94-4955,Naypyitaw,Normal,Female,Sports and travel,94.7,8,2017-11-11,12:00:00,Ewallet,7,C,37.88,795.48,587.33,NA,NA
246-65-6037,Mandalay,Member,Female,Home and lifestyle,74.85,11,2017-07-21,14:00:00,Ewallet,5.8,B,41.1675,864.5175,739.52,NA,NA
578-90-3810,Mandalay,Member,Female,Home and lifestyle,64.07,20,2017-07-22,19:00:00,Credit card,9.8,B,64.07,1345.47,892.32,389,30
695-37-9706,Yangon,Member,Female,Fashion accessories,13.3,13,2017-11-26,13:00:00,Cash,4.4,A,8.645,181.545,142.23,30,17
994-10-6583,Mandalay,Member,Male,Food and beverages,70.57,19,2017-09-05,16:00:00,Cash,6.4,B,67.0415,1407.8715,902.32,438,32
190-40-8978,Yangon,Member,Female,Sports and travel,28.21,7,2017-11-23,14:00:00,Credit card,7.4,A,9.8735,207.3435,142.36,55,27
419-30-8828,Naypyitaw,Normal,Male,Food and beverages,17.12,13,2017-07-08,15:00:00,Ewallet,4.7,C,11.128,233.688,188.19,NA,NA
377-18-1057,Naypyitaw,Normal,Male,Fashion accessories,42.5,1,2017-03-18,17:00:00,Ewallet,6.2,C,2.125,44.625,32.72,NA,NA
516-75-6147,Naypyitaw,Normal,Female,Food and beverages,99.75,20,2017-12-26,18:00:00,Credit card,5,C,99.75,2094.75,1425.72,569,28
664-29-9317,Mandalay,Normal,Female,Home and lifestyle,66.62,11,2017-03-03,16:00:00,Credit card,5,B,36.641,769.461,441.07,291,39
929-87-1721,Naypyitaw,Normal,Male,Electronic accessories,30.78,5,2017-05-12,17:00:00,Cash,9.8,C,7.695,161.595,106.13,47,31
206-66-7807,Mandalay,Member,Female,Food and beverages,82.55,11,2017-05-27,14:00:00,Credit card,9.5,B,45.4025,953.4525,526.92,381,41
223-59-9870,Naypyitaw,Normal,Female,Health and beauty,26.51,7,2017-08-13,14:00:00,Credit card,4.1,C,9.2785,194.8485,154.59,30,16
832-78-9382,Naypyitaw,Normal,Female,Sports and travel,52.01,20,2017-08-12,11:00:00,Cash,7.1,C,52.01,1092.21,531.3,508,48
442-62-7234,Yangon,Normal,Female,Home and lifestyle,88.15,16,2017-06-19,15:00:00,Cash,5.5,A,70.52,1480.92,794.64,615,43
773-71-5945,Yangon,Member,Male,Health and beauty,62.45,13,2017-03-19,12:00:00,Ewallet,6.8,A,40.5925,852.4425,594.59,NA,NA
107-14-4229,Naypyitaw,Normal,Female,Home and lifestyle,99.84,2,2017-05-17,10:00:00,Cash,4.6,C,9.984,209.664,149.15,50,25
950-46-7741,Naypyitaw,Member,Female,Home and lifestyle,17.9,13,2017-08-27,13:00:00,Ewallet,8.4,C,11.635,244.335,149.6,NA,NA
716-25-9880,Yangon,Member,Female,Food and beverages,30.16,14,2017-05-31,19:00:00,Credit card,4.5,A,21.112,443.352,294.91,127,30
963-53-7352,Yangon,Member,Female,Fashion accessories,56.07,7,2017-09-22,17:00:00,Credit card,7.5,A,19.6245,412.1145,281.52,110,28
984-79-3183,Mandalay,Normal,Female,Health and beauty,18.58,19,2017-06-05,13:00:00,Ewallet,9.6,B,17.651,370.671,309.42,NA,NA
466-27-4583,Naypyitaw,Normal,Female,Home and lifestyle,24.2,7,2017-02-27,10:00:00,Ewallet,5.4,C,8.47,177.87,129.02,NA,NA
154-59-7940,Yangon,Normal,Female,Home and lifestyle,65.7,4,2017-09-23,11:00:00,Credit card,9,A,13.14,275.94,159.65,103,39
831-85-7359,Naypyitaw,Member,Female,Sports and travel,92.42,3,2017-07-18,17:00:00,Ewallet,5.5,C,13.863,291.123,187.3,NA,NA
143-59-8368,Yangon,Normal,Female,Sports and travel,21.57,18,2017-03-08,15:00:00,Cash,7.3,A,19.413,407.673,329.31,58,15
990-14-3429,Naypyitaw,Normal,Male,Health and beauty,71.48,5,2017-08-16,10:00:00,Credit card,4.4,C,17.87,375.27,199.41,157,44
100-47-8979,Naypyitaw,Member,Female,Health and beauty,33.68,11,2017-01-02,17:00:00,Cash,8,C,18.524,389.004,278.56,91,24
847-97-2996,Naypyitaw,Member,Female,Electronic accessories,83.72,17,2017-11-19,11:00:00,Credit card,9,C,71.162,1494.402,796.57,626,44
228-99-1057,Naypyitaw,Normal,Female,Food and beverages,49.55,12,2017-08-22,19:00:00,Cash,6.5,C,29.73,624.33,303.65,290,48
391-99-6772,Yangon,Normal,Female,Home and lifestyle,47.52,4,2017-12-21,10:00:00,Ewallet,4.7,A,9.504,199.584,171.06,NA,NA
986-41-8866,Naypyitaw,Member,Female,Electronic accessories,73.51,14,2017-05-31,11:00:00,Cash,7.4,C,51.457,1080.597,535.76,493,47
579-38-4870,Yangon,Member,Male,Home and lifestyle,64.51,18,2017-08-21,17:00:00,Cash,4.1,A,58.059,1219.239,773.37,387,33
390-24-2852,Naypyitaw,Normal,Male,Health and beauty,54.96,8,2017-09-09,14:00:00,Credit card,7.1,C,21.984,461.664,242.34,197,44
977-25-6330,Mandalay,Member,Male,Electronic accessories,50.16,4,2017-12-11,13:00:00,Ewallet,6.9,B,10.032,210.672,167.39,NA,NA
619-75-6657,Yangon,Normal,Male,Electronic accessories,76.21,7,2017-05-23,19:00:00,Cash,5.5,A,26.6735,560.1435,431.9,101,19
581-63-3023,Yangon,Member,Female,Food and beverages,83.67,17,2017-07-11,12:00:00,Credit card,5,A,71.1195,1493.5095,840.55,581,40
232-27-5965,Yangon,Normal,Male,Health and beauty,69.16,14,2017-12-18,13:00:00,Ewallet,8.2,A,48.412,1016.652,752.92,NA,NA
652-53-1916,Naypyitaw,Member,Female,Food and beverages,61.78,13,2017-05-14,16:00:00,Cash,6.8,C,40.157,843.297,682.9,120,14
913-76-9859,Naypyitaw,Normal,Male,Electronic accessories,39.83,18,2017-03-28,19:00:00,Cash,4.5,C,35.847,752.787,371.73,345,48
604-14-1225,Yangon,Normal,Female,Home and lifestyle,74.02,6,2017-10-04,17:00:00,Cash,5.1,A,22.206,466.326,242.77,201,45
297-65-2610,Yangon,Normal,Female,Fashion accessories,33.91,7,2017-06-10,16:00:00,Ewallet,5.3,A,11.8685,249.2385,128.35,NA,NA
863-28-4510,Naypyitaw,Member,Female,Sports and travel,39.39,14,2017-08-29,15:00:00,Ewallet,4.8,C,27.573,579.033,492.53,NA,NA
771-75-4553,Mandalay,Member,Male,Sports and travel,19.66,10,2017-06-07,13:00:00,Ewallet,6.6,B,9.83,206.43,174.94,NA,NA
398-59-5883,Yangon,Normal,Female,Health and beauty,43.13,3,2017-12-12,15:00:00,Ewallet,4.9,A,6.4695,135.8595,99.2,NA,NA
917-81-8028,Yangon,Member,Female,Fashion accessories,40.78,16,2017-02-07,11:00:00,Cash,7.5,A,32.624,685.104,483.18,169,25
766-83-4131,Mandalay,Normal,Female,Home and lifestyle,26.59,4,2017-06-25,11:00:00,Ewallet,5.4,B,5.318,111.678,60.66,NA,NA
347-37-9780,Naypyitaw,Member,Female,Electronic accessories,34.52,20,2017-12-05,12:00:00,Cash,4.3,C,34.52,724.92,620.68,69,10
109-24-9763,Mandalay,Normal,Male,Fashion accessories,49.87,7,2017-10-11,13:00:00,Credit card,5.6,B,17.4545,366.5445,215.61,133,38
716-49-8523,Yangon,Normal,Male,Food and beverages,88.62,16,2017-07-25,13:00:00,Cash,4.7,A,70.896,1488.816,935.7,482,34
992-71-5459,Yangon,Member,Male,Health and beauty,47.76,1,2017-08-27,15:00:00,Ewallet,5.4,A,2.388,50.148,25.41,NA,NA
895-37-3086,Naypyitaw,Normal,Female,Fashion accessories,95.24,6,2017-04-19,17:00:00,Credit card,5.1,C,28.572,600.012,329.88,241,42
196-28-9154,Mandalay,Member,Male,Food and beverages,99.38,9,2017-11-15,16:00:00,Credit card,6.8,B,44.721,939.141,638.93,255,28
611-60-6090,Naypyitaw,Member,Male,Home and lifestyle,27.74,6,2017-09-07,14:00:00,Credit card,6.9,C,8.322,174.762,103.51,62,37
595-50-7156,Naypyitaw,Normal,Male,Electronic accessories,59.37,18,2017-02-09,18:00:00,Ewallet,8.1,C,53.433,1122.093,679.63,NA,NA
861-86-3165,Naypyitaw,Member,Female,Health and beauty,58.56,7,2017-11-22,16:00:00,Ewallet,7.7,C,20.496,430.416,356.85,NA,NA
173-77-1859,Yangon,Normal,Female,Electronic accessories,65.09,10,2017-08-07,18:00:00,Ewallet,4.6,A,32.545,683.445,456.84,NA,NA
436-64-1767,Mandalay,Normal,Female,Electronic accessories,99.87,9,2017-05-12,16:00:00,Ewallet,5.9,B,44.9415,943.7715,538.95,NA,NA
658-96-8655,Naypyitaw,Normal,Female,Fashion accessories,19.16,13,2017-06-03,16:00:00,Cash,5.2,C,12.454,261.534,194.94,54,21
958-21-6624,Naypyitaw,Member,Male,Electronic accessories,78.41,18,2017-03-16,13:00:00,Cash,6.4,C,70.569,1481.949,1260.28,151,10
533-95-7953,Naypyitaw,Normal,Male,Health and beauty,97.01,9,2017-03-16,13:00:00,Credit card,4.8,C,43.6545,916.7445,540.33,332,38
178-81-2946,Mandalay,Member,Female,Health and beauty,87,6,2017-11-07,17:00:00,Credit card,7.8,B,26.1,548.1,387.72,134,25
774-34-1112,Mandalay,Normal,Female,Sports and travel,77.92,13,2017-09-08,19:00:00,Cash,6.8,B,50.648,1063.608,760.02,252,24
410-90-4930,Yangon,Normal,Male,Home and lifestyle,63.94,13,2017-06-17,19:00:00,Ewallet,7.6,A,41.561,872.781,452.05,NA,NA
469-42-7600,Yangon,Member,Male,Food and beverages,10.86,11,2017-03-20,13:00:00,Credit card,7.1,A,5.973,125.433,88.14,31,26
301-58-9243,Naypyitaw,Normal,Male,Food and beverages,62.28,6,2017-09-09,14:00:00,Credit card,6.3,C,18.684,392.364,320.97,52,14
962-99-7634,Mandalay,Member,Male,Sports and travel,35,5,2017-04-21,16:00:00,Ewallet,9.5,B,8.75,183.75,152.53,NA,NA
158-27-6391,Mandalay,Normal,Male,Fashion accessories,24.22,4,2017-03-28,14:00:00,Cash,8.1,B,4.844,101.724,64.49,32,33
316-62-2433,Mandalay,Normal,Female,Electronic accessories,15.94,14,2017-01-01,15:00:00,Ewallet,5.5,B,11.158,234.318,172.85,NA,NA
699-38-2697,Yangon,Member,Male,Health and beauty,97.62,5,2017-02-02,12:00:00,Cash,9.5,A,24.405,512.505,412.44,75,15
800-27-2517,Mandalay,Member,Male,Home and lifestyle,27.65,18,2017-08-09,12:00:00,Ewallet,5.7,B,24.885,522.585,316.7,NA,NA
230-31-2736,Naypyitaw,Normal,Female,Fashion accessories,11.18,11,2017-07-25,13:00:00,Ewallet,7.9,C,6.149,129.129,81.66,NA,NA
625-17-2925,Naypyitaw,Normal,Male,Food and beverages,86.53,18,2017-10-15,12:00:00,Ewallet,6,C,77.877,1635.417,1110.64,NA,NA
554-71-1491,Naypyitaw,Member,Male,Health and beauty,20.62,4,2017-11-14,17:00:00,Credit card,8.1,C,4.124,86.604,69.36,13,15
972-72-5562,Yangon,Normal,Male,Fashion accessories,87.72,12,2017-11-18,13:00:00,Credit card,9.8,A,52.632,1105.272,669.6,383,36
709-70-7182,Mandalay,Member,Male,Fashion accessories,71.03,1,2017-06-23,13:00:00,Ewallet,7,B,3.5515,74.5815,52.42,NA,NA
104-69-9199,Yangon,Member,Female,Health and beauty,21.76,12,2017-09-13,12:00:00,Cash,9.4,A,13.056,274.176,154.27,106,40
246-17-6069,Yangon,Normal,Female,Health and beauty,45.62,2,2017-04-16,14:00:00,Ewallet,6.8,A,4.562,95.802,77.06,NA,NA
364-64-3641,Yangon,Normal,Female,Food and beverages,90.5,8,2017-05-16,11:00:00,Ewallet,9.6,A,36.2,760.2,649.41,NA,NA
871-74-2400,Yangon,Normal,Male,Food and beverages,27.87,8,2017-04-15,13:00:00,Cash,7.6,A,11.148,234.108,150.75,72,32
569-19-3685,Mandalay,Member,Male,Health and beauty,22.05,6,2017-03-10,13:00:00,Credit card,5.6,B,6.615,138.915,103.32,28,21
210-79-7930,Yangon,Normal,Female,Fashion accessories,33.33,9,2017-03-28,13:00:00,Cash,8.6,A,14.9985,314.9685,182.06,117,39
817-45-9931,Naypyitaw,Normal,Male,Fashion accessories,48.37,16,2017-10-03,17:00:00,Credit card,6.4,C,38.696,812.616,525.71,248,32
495-19-5340,Mandalay,Member,Female,Electronic accessories,84.23,17,2017-12-29,14:00:00,Cash,7.3,B,71.5955,1503.5055,1277.57,154,10
599-71-2925,Mandalay,Member,Female,Food and beverages,92,17,2017-05-23,15:00:00,Ewallet,5.1,B,78.2,1642.2,1039.83,NA,NA
288-91-8617,Mandalay,Member,Male,Electronic accessories,28.14,10,2017-09-06,11:00:00,Ewallet,4.1,B,14.07,295.47,187.38,NA,NA
691-51-2446,Yangon,Member,Female,Electronic accessories,64.24,50,2017-05-16,19:00:00,Ewallet,5.8,A,160.6,3372.6,1876.11,NA,NA
632-14-4435,Naypyitaw,Member,Male,Home and lifestyle,64.47,8,2017-09-01,17:00:00,Cash,9,C,25.788,541.548,371.73,144,27
821-63-8302,Yangon,Normal,Female,Health and beauty,40.77,12,2017-08-05,18:00:00,Cash,4.6,A,24.462,513.702,289.37,199,40
153-81-2317,Yangon,Member,Female,Health and beauty,73.47,18,2017-06-17,11:00:00,Credit card,5.5,A,66.123,1388.583,894.3,428,32
322-22-8647,Naypyitaw,Member,Male,Fashion accessories,10.18,14,2017-12-16,19:00:00,Ewallet,8.6,C,7.126,149.646,72.04,NA,NA
209-92-8397,Mandalay,Normal,Female,Electronic accessories,68.78,12,2017-11-16,15:00:00,Ewallet,9.5,B,41.268,866.628,443.67,NA,NA
379-55-3286,Naypyitaw,Normal,Female,Fashion accessories,13.9,8,2017-01-21,12:00:00,Cash,4.2,C,5.56,116.76,64.55,46,41
837-39-4248,Naypyitaw,Normal,Female,Home and lifestyle,61.56,13,2017-12-25,12:00:00,Cash,6.5,C,40.014,840.294,703.56,96,12
870-16-2435,Mandalay,Member,Female,Fashion accessories,20.37,16,2017-08-28,10:00:00,Credit card,6.5,B,16.296,342.216,268.74,57,17
835-30-2883,Yangon,Normal,Female,Electronic accessories,93.86,50,2017-01-24,17:00:00,Ewallet,9.5,A,234.65,4927.65,3191.86,NA,NA
290-91-3082,Yangon,Normal,Male,Sports and travel,76.2,1,2017-11-27,12:00:00,Ewallet,6.6,A,3.81,80.01,59.14,NA,NA
868-22-4149,Yangon,Member,Male,Health and beauty,76.09,19,2017-06-01,10:00:00,Cash,9.7,A,72.2855,1517.9955,905.59,540,37
815-66-4936,Mandalay,Member,Male,Electronic accessories,17.97,15,2017-02-25,15:00:00,Ewallet,5.5,B,13.4775,283.0275,203.77,NA,NA
994-85-3870,Yangon,Member,Male,Home and lifestyle,62.47,1,2017-05-11,13:00:00,Cash,9.4,A,3.1235,65.5935,33.16,29,46
420-91-2929,Mandalay,Member,Female,Home and lifestyle,25.55,15,2017-02-12,10:00:00,Cash,4.1,B,19.1625,402.4125,260.77,122,31
376-30-9213,Naypyitaw,Member,Female,Sports and travel,45.5,7,2017-07-30,18:00:00,Cash,6.5,C,15.925,334.425,166.48,152,47
604-90-9936,Naypyitaw,Member,Female,Electronic accessories,60.69,19,2017-06-09,17:00:00,Credit card,5.9,C,57.6555,1210.7655,740.51,412,35
394-76-5656,Mandalay,Normal,Male,Home and lifestyle,71.14,11,2017-09-15,15:00:00,Cash,8,B,39.127,821.667,455.33,327,41
644-56-3853,Mandalay,Member,Female,Sports and travel,99.13,16,2017-07-11,14:00:00,Ewallet,9.2,B,79.304,1665.384,926.4,NA,NA
333-55-8680,Naypyitaw,Member,Male,Sports and travel,43.85,9,2017-10-27,13:00:00,Cash,9.2,C,19.7325,414.3825,274.62,120,30
810-12-1641,Naypyitaw,Normal,Female,Food and beverages,39.59,10,2017-12-07,13:00:00,Credit card,9,C,19.795,415.695,343.48,52,13
189-34-4794,Mandalay,Normal,Male,Electronic accessories,67.38,3,2017-12-18,10:00:00,Ewallet,7,B,10.107,212.247,167.69,NA,NA
934-96-2325,Naypyitaw,Member,Male,Electronic accessories,93.69,18,2017-09-08,11:00:00,Ewallet,9,C,84.321,1770.741,1455.41,NA,NA
223-45-4713,Yangon,Normal,Female,Home and lifestyle,11.9,11,2017-01-28,14:00:00,Credit card,6.8,A,6.545,137.445,83.64,47,36
874-12-2243,Naypyitaw,Normal,Male,Sports and travel,69.59,18,2017-01-07,11:00:00,Credit card,7.9,C,62.631,1315.251,800.33,452,36
713-23-2917,Mandalay,Member,Female,Electronic accessories,66.15,2,2017-08-01,11:00:00,Ewallet,9,B,6.615,138.915,114.73,NA,NA
137-77-3411,Naypyitaw,Normal,Male,Food and beverages,58.5,12,2017-07-04,18:00:00,Cash,9.7,C,35.1,737.1,512.43,189,27
520-52-1370,Mandalay,Normal,Female,Home and lifestyle,17.93,19,2017-01-07,18:00:00,Credit card,6.6,B,17.0335,357.7035,285.19,55,16
587-95-3719,Yangon,Normal,Male,Electronic accessories,66.79,15,2017-02-28,12:00:00,Ewallet,6.7,A,50.0925,1051.9425,740.86,NA,NA
653-59-5768,Mandalay,Normal,Female,Electronic accessories,57.08,12,2017-02-26,15:00:00,Ewallet,9.4,B,34.248,719.208,438.28,NA,NA
512-33-9773,Naypyitaw,Member,Male,Home and lifestyle,56.44,3,2017-11-02,14:00:00,Credit card,9.1,C,8.466,177.786,113.8,55,32
360-18-7353,Yangon,Member,Female,Food and beverages,95.56,1,2017-03-01,16:00:00,Cash,7,A,4.778,100.338,77.6,17,18
662-85-5214,Mandalay,Normal,Male,Electronic accessories,45.42,10,2017-12-05,15:00:00,Credit card,7.6,B,22.71,476.91,354.71,99,21
952-79-3853,Naypyitaw,Member,Male,Home and lifestyle,48.36,3,2017-07-08,17:00:00,Credit card,7.9,C,7.254,152.334,117.38,27,19
555-15-1635,Mandalay,Member,Male,Sports and travel,30.96,10,2017-09-20,18:00:00,Cash,7.7,B,15.48,325.08,160.35,149,48
312-40-4601,Naypyitaw,Normal,Male,Sports and travel,14.07,3,2017-07-09,19:00:00,Ewallet,6.7,C,2.1105,44.3205,26.46,NA,NA
112-57-7832,Naypyitaw,Member,Female,Sports and travel,92.39,3,2017-12-17,18:00:00,Ewallet,6.8,C,13.8585,291.0285,204.48,NA,NA
800-66-4900,Naypyitaw,Normal,Female,Electronic accessories,52.53,16,2017-03-21,19:00:00,Ewallet,4.4,C,42.024,882.504,430.59,NA,NA
485-56-1473,Yangon,Member,Female,Food and beverages,82.36,7,2017-12-20,17:00:00,Ewallet,6.9,A,28.826,605.346,290.42,NA,NA
528-56-4244,Naypyitaw,Normal,Male,Health and beauty,12.72,5,2017-05-26,18:00:00,Credit card,9.5,C,3.18,66.78,56.4,7,11
440-27-6753,Naypyitaw,Member,Male,Food and beverages,29.3,20,2017-03-15,11:00:00,Credit card,4.4,C,29.3,615.3,297.96,288,49
874-29-7295,Mandalay,Member,Female,Home and lifestyle,75.64,7,2017-06-22,10:00:00,Cash,5.5,B,26.474,555.954,289.48,240,45
660-76-2485,Yangon,Normal,Male,Home and lifestyle,23.62,11,2017-08-05,19:00:00,Cash,5.6,A,12.991,272.811,233.36,26,10
593-84-6179,Yangon,Normal,Male,Food and beverages,87.58,14,2017-09-17,11:00:00,Cash,9.2,A,61.306,1287.426,1031.56,194,15
525-28-3520,Mandalay,Member,Male,Health and beauty,17.89,9,2017-06-23,17:00:00,Credit card,5.4,B,8.0505,169.0605,88.52,72,45
823-49-8256,Yangon,Member,Male,Food and beverages,16.89,3,2017-08-10,18:00:00,Ewallet,4,A,2.5335,53.2035,38.47,NA,NA
555-93-1819,Mandalay,Member,Female,Electronic accessories,43.08,6,2017-09-14,19:00:00,Credit card,9.3,B,12.924,271.404,147.72,110,42
995-76-6638,Yangon,Normal,Female,Health and beauty,56.85,20,2017-10-04,18:00:00,Credit card,6.1,A,56.85,1193.85,768.17,368,32
112-74-3096,Yangon,Normal,Male,Sports and travel,55.61,3,2017-09-16,16:00:00,Cash,6.2,A,8.3415,175.1715,124,42,25
793-28-8756,Yangon,Normal,Male,Food and beverages,72.65,19,2017-03-23,16:00:00,Ewallet,7.8,A,69.0175,1449.3675,803.74,NA,NA
505-85-6523,Yangon,Member,Female,Food and beverages,81.4,16,2017-07-03,17:00:00,Credit card,8.9,A,65.12,1367.52,1131.27,171,13
648-23-2284,Mandalay,Normal,Male,Home and lifestyle,15.58,19,2017-08-07,10:00:00,Credit card,8.7,B,14.801,310.821,167.83,128,43
799-87-4809,Naypyitaw,Normal,Male,Fashion accessories,43.62,5,2017-03-29,19:00:00,Cash,6.3,C,10.905,229.005,159.24,58,26
361-46-4348,Yangon,Normal,Female,Fashion accessories,53.12,10,2017-12-23,10:00:00,Credit card,9.1,A,26.56,557.76,471.55,59,11
